"8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","52","53","55","56","57","58","59","60","61","62","63","64","65","66"
"0",3,14,9,0,2,8,0,1,3,1,1,0,7,1,1,1,0,0,6,0,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,8
"1",0,6,30,4,5,5,0,7,2,2,0,0,13,1,1,0,1,1,8,0,0,1,2,0,1,6,0,2,1,0,0,0,5,1,0,0,1,2,2,1,0,0,3,0,2,0,0,0,0,0,5,0,0,0,0,0,2
"2",0,8,37,2,13,1,1,8,1,1,1,0,14,1,1,1,1,6,11,0,2,1,1,1,0,11,0,1,1,0,0,0,8,0,0,0,0,1,4,1,0,0,3,0,1,1,0,0,0,0,5,0,0,0,0,0,5
"3",0,10,78,7,17,19,3,19,6,2,3,3,27,1,0,3,4,7,23,0,2,3,1,0,1,29,1,0,1,0,1,1,22,0,0,0,1,1,5,0,0,0,10,2,8,1,0,0,0,0,5,0,0,0,0,0,10
"4",1,15,106,20,25,18,2,29,10,3,7,1,33,3,5,3,3,12,12,0,0,4,11,0,1,22,0,7,0,0,0,0,23,1,0,0,0,1,5,0,1,0,3,0,10,0,0,1,0,1,6,0,1,0,0,1,9
"5",1,14,136,25,20,23,2,27,5,5,2,3,61,3,0,6,5,10,22,1,1,4,15,0,3,35,0,7,1,0,0,0,23,0,1,0,1,0,11,2,1,0,9,0,14,0,0,0,0,1,6,1,1,0,0,1,15
"6",3,16,144,14,25,29,4,47,11,3,7,8,60,3,2,3,8,15,46,0,1,5,10,1,1,39,0,5,0,2,1,0,29,1,1,0,1,3,16,0,1,0,9,1,19,1,0,0,0,1,11,0,0,0,1,0,17
"7",3,18,208,23,37,20,5,36,13,2,13,4,76,2,3,7,7,22,43,1,4,6,10,0,2,56,1,5,1,2,0,1,40,1,0,0,0,5,28,1,2,2,7,0,15,3,0,0,0,3,11,0,1,0,1,2,20
"8",3,20,216,31,48,40,7,55,21,7,17,6,104,6,3,6,14,20,77,1,3,10,18,0,2,66,0,4,1,1,2,1,49,3,0,1,1,3,13,4,0,0,10,1,28,0,0,1,0,2,11,0,0,0,0,2,19
"9",5,42,599,68,92,89,12,153,44,17,13,7,229,10,14,14,17,54,123,3,4,11,51,1,4,125,1,16,3,2,4,2,109,3,4,0,1,15,56,5,1,2,32,2,58,2,1,0,2,4,32,1,0,1,0,3,51
"10",1,9,71,11,18,17,4,34,13,3,8,3,47,4,3,3,7,10,32,1,0,4,7,1,2,32,0,5,2,1,0,0,26,0,1,0,0,1,11,1,0,0,3,0,14,0,0,0,0,3,5,0,0,0,0,1,12
"11",0,6,67,18,11,17,3,15,5,2,8,2,49,2,2,3,2,14,30,0,1,7,10,0,2,31,0,7,0,4,0,0,22,0,0,0,1,4,18,0,1,0,4,2,16,0,0,0,0,1,8,0,1,0,0,1,7
"12",3,7,59,16,17,13,4,31,13,4,5,3,50,1,4,3,6,17,35,0,1,3,8,0,1,40,4,4,0,3,2,0,27,3,2,0,0,3,12,1,1,0,3,2,9,1,0,0,0,2,9,0,1,0,0,2,17
"13",0,8,95,16,19,21,4,50,18,4,8,3,72,3,4,9,7,18,48,1,2,2,7,0,0,40,1,7,2,2,1,0,45,1,0,0,1,4,11,2,1,0,3,0,15,0,0,1,0,1,12,0,0,0,0,2,15
"14",5,15,204,41,53,64,12,91,25,9,24,8,166,16,11,17,27,45,125,3,7,11,39,1,3,105,6,16,4,5,3,0,117,5,3,0,0,3,41,7,1,0,15,1,62,0,0,0,0,2,18,2,1,0,1,8,41
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
